issue_id,timestamp,category,description,municipality,district,state,age_group,gender,origin,responsible_entity_id,responsible_entity_name,responsible_entity_level,description_length,description_words,has_verkehr_keywords,has_bildung_keywords,has_umwelt_keywords,has_gesundheit_keywords,hour,day_of_week,day_of_month,week_of_year,month,quarter,is_weekend,is_business_hours,is_morning,is_afternoon
ISS_20250613034209_7483,2023-11-12 03:54:00,Gesundheit,Die Wartezeit in der Notaufnahme des Klinikums war gestern Abend über 4 Stunden - das ist für ältere Menschen wie mich unzumutbar. Außerdem war das Personal völlig überlastet und konnte kaum auf Fragen eingehen.,Chemnitz,Stadt,Sachsen,55-64,female,citizen,LAND_04_SM,Bremen - Ministerium für Soziales,Land,211,34,False,False,False,False,3,6,12,45,11,4,True,False,False,False
ISS_20250613034253_2513,2024-12-26 06:24:00,Digitalisierung,"Das Online-Portal der Stadt funktioniert seit Tagen nicht richtig - ich kann weder einen Termin im Bürgerbüro buchen noch meinen Personalausweis verlängern. Für berufstätige Mütter wie mich ist das sehr ärgerlich, da ich nicht ständig anrufen kann.",Moringen,Stadt,Niedersachsen,35-44,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,248,37,False,False,False,False,6,3,26,52,12,4,False,False,True,False
ISS_20250613033812_4910,2023-06-04 12:10:00,Verkehr,"Die Baustelle an der B176 bei Frohburg dauert schon drei Monate und die Umleitung durch die Innenstadt ist völlig überlastet. Täglich stehe ich eine halbe Stunde im Stau, wann wird das endlich fertig?",Frohburg,Stadt,Sachsen,25-34,male,citizen,LAND_08_VM,Baden-Württemberg - Ministerium für Verkehr,Land,200,33,True,False,False,False,12,6,4,22,6,2,True,True,True,True
ISS_20250613033659_2513,2024-09-13 11:25:00,Verkehr,Die Baustelle in der Leipziger Straße dauert schon drei Monate und es gibt keine Umleitung - jeden Morgen stehe ich im Stau und komme zu spät zur Arbeit. Wann wird das endlich fertig?,Artern,Stadt,Thüringen,35-44,male,citizen,LAND_09_VM,Bayern - Ministerium für Verkehr,Land,183,33,True,False,False,False,11,4,13,37,9,3,False,True,True,False
ISS_20250613034155_1027,2024-02-20 14:58:00,Umwelt,"Die Grünschnittsammelstelle an der Münchener Straße ist völlig überfüllt und die Abfälle liegen bereits auf dem Gehweg verstreut. Das sieht nicht nur schlimm aus, sondern lockt auch Ungeziefer an und behindert die Fußgänger.",Olching,Stadt,Bayern,45-54,male,citizen,LAND_15_UM,Sachsen-Anhalt - Ministerium für Umwelt,Land,224,33,True,False,True,False,14,1,20,8,2,1,False,True,False,True
ISS_20250613034128_6078,2023-01-01 12:59:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro funktioniert überhaupt nicht - ständig Fehlermeldungen und dann ist man wieder auf der Startseite. Als Rentner brauche ich einfache Lösungen, nicht diese komplizierten Internet-Sachen, die nie klappen.",Schloßvippach,Gemeinde,Thüringen,65+,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,245,32,False,False,False,False,12,6,1,52,1,1,True,True,True,True
ISS_20250613033655_3441,2024-08-08 14:42:00,Gesundheit,"Die Wartezeit in der Notaufnahme des Krankenhauses beträgt regelmäßig über vier Stunden, selbst bei akuten Beschwerden. Das Personal ist völlig überlastet und Patienten werden stundenlang ohne Information im Wartezimmer gelassen.",Torgau,Stadt,Sachsen,25-34,male,citizen,LAND_09_GM,Bayern - Ministerium für Gesundheit,Land,229,30,False,False,False,True,14,3,8,32,8,3,False,True,False,True
ISS_20250613034114_1888,2024-10-09 04:51:00,Digitalisierung,"Das neue Online-Portal der Stadt ist viel zu kompliziert für uns ältere Bürger. Ich brauche einen einfachen Weg, um meinen Personalausweis zu verlängern, ohne stundenlang vor dem Computer zu sitzen und mich durch unverständliche Menüs zu klicken.",Kirchberg an der Jagst,Stadt,Baden-Württemberg,65+,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,246,37,False,False,False,False,4,2,9,41,10,4,False,False,False,False
ISS_20250613033739_9518,2024-07-22 13:29:00,Digitalisierung,"Das Online-Portal der Gemeinde funktioniert seit Wochen nicht richtig - ich kann meinen Antrag auf Kindergeld nicht einreichen. Meine Freundin hat das gleiche Problem und wir verstehen nicht, warum die technischen Probleme nicht behoben werden.",Heek,Gemeinde,Nordrhein-Westfalen,35-44,female,migrant_non_eu,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,244,35,False,False,False,False,13,0,22,30,7,3,False,True,False,True
ISS_20250613033808_6976,2024-09-07 11:04:00,Gesundheit,"Die Wartezeit beim Hausarzt hier in Allstedt ist unmöglich - drei Wochen für einen normalen Termin! Als EU-Bürgerin verstehe ich nicht, warum die medizinische Versorgung so schlecht ist, besonders für junge Familien wie uns.",Allstedt,Stadt,Sachsen-Anhalt,25-34,female,migrant_eu,LAND_11_SM,Berlin - Ministerium für Soziales,Land,224,34,False,False,False,True,11,5,7,36,9,3,True,True,True,False
